iter	Passed	Remaining
390	2169	3379
391	2172	3369
392	2175	3359
393	2221	3417
394	2228	3412
395	2231	3403
396	2247	3413
397	2251	3404
398	2261	3405
399	2265	3398
400	2268	3387
401	2273	3382
402	2276	3372
403	2279	3362
404	2281	3352
405	2288	3348
406	2291	3338
407	2294	3329
408	2297	3320
409	2301	3312
410	2304	3302
411	2312	3300
412	2314	3289
413	2333	3303
414	2335	3292
415	2338	3282
416	2342	3275
417	2348	3270
418	2355	3265
419	2360	3259
420	2363	3251
421	2373	3250
422	2375	3240
423	2389	3245
424	2392	3236
425	2394	3226
426	2404	3227
427	2407	3217
428	2410	3208
429	2417	3205
430	2421	3196
431	2424	3187
432	2436	3189
433	2438	3180
434	2441	3170
435	2449	3168
436	2451	3158
437	2454	3148
438	2461	3146
439	2465	3137
440	2467	3128
441	2470	3118
442	2473	3109
443	2476	3101
444	2479	3092
445	2481	3082
446	2489	3079
447	2491	3070
448	2494	3060
449	2499	3054
450	2502	3045
451	2505	3037
452	2507	3027
453	2523	3034
454	2533	3035
455	2536	3026
456	2539	3016
457	2548	3015
458	2551	3007
459	2554	2998
460	2557	2990
461	2565	2987
462	2568	2979
463	2570	2969
464	2580	2969
465	2583	2960
466	2587	2953
467	2590	2944
468	2592	2935
469	2601	2933
470	2603	2923
471	2605	2915
472	2608	2906
473	2616	2903
474	2622	2898
475	2624	2889
476	2632	2886
477	2635	2877
478	2638	2869
479	2645	2865
480	2648	2857
481	2650	2848
482	2653	2840
483	2661	2837
484	2664	2828
485	2666	2820
486	2676	2819
487	2680	2812
488	2682	2803
489	2685	2795
490	2688	2787
491	2696	2783
492	2698	2775
493	2700	2766
494	2703	2757
495	2714	2757
496	2716	2749
497	2721	2743
498	2727	2738
499	2729	2729
500	2737	2726
501	2741	2719
502	2744	2711
503	2746	2703
504	2752	2698
505	2757	2691
506	2766	2690
507	2773	2686
508	2776	2677
509	2779	2670
510	2782	2662
511	2788	2657
512	2790	2649
513	2794	2642
514	2801	2638
515	2810	2635
516	2812	2627
517	2817	2622
518	2821	2615
519	2824	2607
520	2832	2604
521	2835	2596
522	2837	2588
523	2840	2580
524	2847	2576
525	2849	2568
526	2852	2560
527	2854	2552
528	2862	2548
529	2864	2540
530	2866	2531
531	2868	2523
532	2869	2514
533	2875	2509
534	2878	2501
535	2880	2493
536	2882	2485
537	2884	2477
538	2889	2471
539	2892	2463
540	2895	2456
541	2903	2453
542	2906	2446
543	2909	2439
544	2912	2431
545	2915	2423
546	2917	2416
547	2920	2408
548	2922	2401
549	2931	2398
550	2938	2394
551	2940	2386
552	2947	2382
553	2950	2375
554	2953	2368
555	2967	2369
556	2969	2361
557	2971	2353
558	2982	2352
559	2985	2345
560	2999	2347
561	3001	2339
562	3003	2331
563	3005	2323
564	3012	2319
565	3014	2311
566	3016	2303
567	3018	2295
568	3020	2287
569	3029	2285
570	3031	2277
571	3032	2269
572	3034	2261
573	3040	2256
574	3043	2249
575	3045	2242
576	3048	2235
577	3055	2230
578	3057	2222
579	3059	2215
580	3061	2207
581	3064	2200
582	3068	2194
583	3074	2190
584	3077	2183
585	3083	2178
586	3085	2171
587	3094	2168
588	3104	2166
589	3107	2159
590	3108	2151
591	3113	2146
592	3117	2139
593	3119	2131
594	3121	2125
595	3124	2117
596	3130	2113
597	3132	2105
598	3134	2098
599	3136	2090
600	3138	2083
601	3143	2078
602	3145	2070
603	3147	2063
604	3149	2056
605	3152	2049
606	3154	2042
607	3161	2038
608	3163	2031
609	3165	2024
610	3167	2016
611	3172	2011
612	3175	2004
613	3178	1998
614	3182	1992
615	3191	1989
616	3193	1982
617	3196	1975
618	3199	1969
619	3206	1965
620	3208	1958
621	3210	1951
622	3212	1943
623	3214	1936
624	3220	1932
625	3223	1925
626	3225	1918
627	3227	1911
628	3228	1904
629	3235	1899
630	3237	1893
631	3239	1886
632	3242	1880
633	3250	1876
634	3252	1869
635	3255	1863
636	3257	1856
637	3263	1851
638	3265	1845
639	3268	1838
640	3270	1831
641	3273	1825
642	3278	1820
643	3280	1813
644	3283	1807
645	3292	1804
646	3295	1797
647	3302	1793
648	3304	1787
649	3311	1783
650	3314	1776
651	3317	1770
652	3318	1763
653	3326	1759
654	3328	1753
655	3330	1746
656	3332	1740
657	3340	1736
658	3343	1729
659	3345	1723
660	3347	1716
661	3352	1711
662	3354	1705
663	3357	1698
664	3361	1693
665	3368	1689
666	3371	1683
667	3372	1676
668	3374	1669
669	3376	1663
670	3378	1656
671	3385	1652
672	3387	1645
673	3389	1639
674	3391	1632
675	3397	1628
676	3400	1622
677	3402	1615
678	3404	1609
679	3405	1602
680	3407	1596
681	3413	1591
682	3415	1585
683	3417	1578
684	3419	1572
685	3421	1566
686	3423	1559
687	3431	1556
688	3433	1549
689	3436	1543
690	3438	1537
691	3442	1532
692	3445	1526
693	3448	1520
694	3452	1514
695	3455	1509
696	3464	1505
697	3473	1503
698	3476	1497
699	3478	1490
700	3486	1487
701	3488	1480
702	3491	1474
703	3493	1468
704	3499	1464
705	3501	1458
706	3503	1452
707	3506	1446
708	3508	1440
709	3515	1435
710	3519	1430
711	3522	1424
712	3525	1418
713	3530	1414
714	3532	1408
715	3535	1402
716	3541	1397
717	3544	1392
718	3547	1386
719	3549	1380
720	3552	1374
721	3558	1370
722	3561	1364
723	3563	1358
724	3566	1352
725	3573	1348
726	3575	1342
727	3578	1336
728	3580	1331
729	3582	1325
730	3591	1321
731	3594	1315
732	3598	1310
733	3606	1306
734	3609	1301
735	3612	1295
736	3618	1291
737	3621	1285
738	3624	1280
739	3627	1274
740	3636	1270
741	3638	1265
742	3640	1259
743	3643	1253
744	3652	1250
745	3654	1244
746	3657	1238
747	3670	1236
748	3673	1230
749	3676	1225
750	3680	1220
751	3682	1214
752	3685	1208
753	3687	1202
754	3693	1198
755	3696	1193
756	3699	1187
757	3701	1181
758	3708	1177
759	3711	1172
760	3714	1166
761	3718	1161
762	3721	1156
763	3724	1150
764	3726	1144
765	3728	1139
766	3737	1135
767	3740	1129
768	3742	1124
769	3744	1118
770	3748	1113
771	3750	1107
772	3752	1102
773	3755	1096
774	3763	1092
775	3765	1087
776	3768	1081
777	3770	1075
778	3777	1071
779	3779	1066
780	3782	1060
781	3784	1055
782	3789	1050
783	3792	1044
784	3796	1039
785	3798	1034
786	3802	1029
787	3804	1023
788	3808	1018
789	3824	1016
790	3826	1011
791	3829	1005
792	3836	1001
793	3839	996
794	3841	990
795	3844	985
796	3852	981
797	3854	975
798	3855	969
799	3858	964
800	3860	959
801	3867	954
802	3868	949
803	3870	943
804	3872	938
805	3874	932
806	3880	927
807	3882	922
808	3885	917
809	3890	912
810	3892	907
811	3895	901
812	3897	896
813	3904	892
814	3906	886
815	3908	881
816	3911	876
817	3917	871
818	3920	866
819	3922	861
820	3924	855
821	3926	850
822	3933	845
823	3935	840
824	3937	835
825	3939	829
826	3941	824
827	3943	819
828	3946	814
829	3949	808
830	3950	803
831	3953	798
832	3957	793
833	3959	788
834	3962	783
835	3965	777
836	3968	772
837	3976	768
838	3979	763
839	3982	758
840	3991	754
841	3993	749
842	3995	744
843	3998	739
844	4005	734
845	4008	729
846	4010	724
847	4012	719
848	4013	713
849	4023	710
850	4025	704
851	4027	699
852	4029	694
853	4036	690
854	4038	684
855	4040	679
856	4042	674
857	4045	669
858	4050	664
859	4053	659
860	4057	654
861	4065	650
862	4068	645
863	4070	640
864	4072	635
865	4074	630
866	4079	625
867	4082	620
868	4085	615
869	4087	610
870	4089	605
871	4096	601
872	4098	596
873	4100	591
874	4102	586
875	4104	580
876	4110	576
877	4112	571
878	4114	566
879	4116	561
880	4118	556
881	4120	551
882	4123	546
883	4125	541
884	4128	536
885	4157	534
886	4160	529
887	4162	524
888	4171	520
889	4176	516
890	4179	511
891	4186	506
892	4189	502
893	4192	497
894	4195	492
895	4203	487
896	4206	482
897	4218	479
898	4221	474
899	4224	469
900	4230	464
901	4233	459
902	4238	455
903	4241	450
904	4247	445
905	4255	441
906	4263	437
907	4266	432
908	4269	427
909	4271	422
910	4274	417
911	4276	412
912	4279	407
913	4282	402
914	4292	398
915	4294	393
916	4298	389
917	4307	384
918	4310	379
919	4314	375
920	4323	370
921	4325	365
922	4327	361
923	4330	356
924	4332	351
925	4337	346
926	4347	342
927	4349	337
928	4352	332
929	4355	327
930	4365	323
931	4367	318
932	4375	314
933	4382	309
934	4385	304
935	4387	300
936	4392	295
937	4396	290
938	4399	285
939	4401	280
940	4408	276
941	4410	271
942	4413	266
943	4421	262
944	4423	257
945	4425	252
946	4428	247
947	4431	243
948	4435	238
949	4442	233
950	4445	229
951	4448	224
952	4451	219
953	4457	214
954	4459	210
955	4461	205
956	4463	200
957	4470	196
958	4473	191
959	4476	186
960	4478	181
961	4486	177
962	4488	172
963	4490	167
964	4492	162
965	4494	158
966	4502	153
967	4504	148
968	4506	144
969	4507	139
970	4509	134
971	4518	130
972	4520	125
973	4523	120
974	4525	116
975	4532	111
976	4534	106
977	4536	102
978	4543	97
979	4544	92
980	4547	88
981	4549	83
982	4551	78
983	4561	74
984	4565	69
985	4574	64
986	4576	60
987	4578	55
988	4580	50
989	4582	46
990	4589	41
991	4591	37
992	4593	32
993	4595	27
994	4596	23
995	4604	18
996	4606	13
997	4609	9
998	4611	4
999	4612	0
